i,j,val
0,0,1
0,1,2
0,2,3
0,3,4
0,4,5
0,5,6
0,6,7
0,7,8
0,8,9
1,0,32
1,1,33
1,2,34
1,3,35
1,4,36
1,5,37
1,6,38
1,7,39
1,8,10
2,0,31
2,1,56
2,2,57
2,3,58
2,4,59
2,5,60
2,6,61
2,7,40
2,8,11
3,0,30
3,1,55
3,2,72
3,3,73
3,4,74
3,5,75
3,6,62
3,7,41
3,8,12
4,0,29
4,1,54
4,2,71
4,3,80
4,4,81
4,5,76
4,6,63
4,7,42
4,8,13
5,0,28
5,1,53
5,2,70
5,3,79
5,4,78
5,5,77
5,6,64
5,7,43
5,8,14
6,0,27
6,1,52
6,2,69
6,3,68
6,4,67
6,5,66
6,6,65
6,7,44
6,8,15
7,0,26
7,1,51
7,2,50
7,3,49
7,4,48
7,5,47
7,6,46
7,7,45
7,8,16
8,0,25
8,1,24
8,2,23
8,3,22
8,4,21
8,5,20
8,6,19
8,7,18
8,8,17
